	PMID	CUI1	PTerm1	CUI2	PTerm2	CUI3	PTerm3	CUI4	PTerm4	CUI5	PTerm5	CUI6	PTerm6	CUI7	PTerm7	CUI8	PTerm8	CUI9	PTerm9	CUI10	PTerm10	CUI11	PTerm11	CUI12	PTerm12	CUI13	PTerm13	CUI14	PTerm14	CUI15	PTerm15	CUI16	PTerm16	CUI17	PTerm17	CUI18	PTerm18	CUI19	PTerm19	CUI20	PTerm20	CUI21	PTerm21	CUI22	PTerm22	CUI23	PTerm23	CUI24	PTerm24	CUI25	PTerm25	CUI26	PTerm26	CUI27	PTerm27	CUI28	PTerm28	CUI29	PTerm29	CUI30	PTerm30	CUI31	PTerm31	CUI32	PTerm32	CUI33	PTerm33	CUI34	PTerm34	CUI35	PTerm35	CUI36	PTerm36	CUI37	PTerm37	CUI38	PTerm38	CUI39	PTerm39	CUI40	PTerm40	CUI41	PTerm41	CUI42	PTerm42	CUI43	PTerm43	CUI44	PTerm44	CUI45	PTerm45	CUI46	PTerm46
7331	6280565	C0150312	Present	C4015600	Jitter	C0544452	Disease remission	C1955473	Others - Allergy	C0750484	Confirmation	C0086045	Mental concentration	C0700323	Observation of Neuromuscular Block	C0086045	Mental concentration	C1457868	Worse	C0700323	Observation of Neuromuscular Block	C0012634	Disease	C0750484	Confirmation																																																																				
7332	6278157	C0026552	Morphine Dependence	C2825032	Withdrawal (dysfunction)	C0332128	Examined	C0150312	Present	C2825032	Withdrawal (dysfunction)	C0544983	Increase in receptor sites	C2825032	Withdrawal (dysfunction)	C1332133	Abstinence Syndrome	C0026552	Morphine Dependence																																																																										
7333	6278156	C4055506	Accumulation																																																																																										
7334	6276913	C0150312	Present	C0848237	acute stress	C0456240	Core body temperature	C0003467	Anxiety	C1444656	Indicated																																																																																		
7335	6276892	C1955473	Others - Allergy	C0015726	Fear (Mental Process)	C0003467	Anxiety	C0871633	desire	C0003467	Anxiety	C1273517	Used by	C0038587	Substance Withdrawal Syndrome	C0679199	strategy	C0558208	Anxiety about treatment	C0030193	Pain	C0086189	Drug Withdrawal Symptoms	C0033931	Psychophysiologic Disorders	C4281574	Much	C0015726	Fear (Mental Process)	C0003467	Anxiety	C1332133	Abstinence Syndrome																																																												
7336	6276870	C0332128	Examined	C3843645	1-10	C0004268	Attention																																																																																						
7337	6276867	C0005904	Body Temperature Changes	C0014518	Toxic Epidermal Necrolysis	C0235169	Excitability	C1273518	Responsible to																																																																																				
7338	6276796	C0004268	Attention	C0344315	Depressed mood	C1631070	6/4.5	C0442752	Distance vision 6/12	C3843645	1-10	C0344315	Depressed mood	C3843645	1-10	C2825142	Experimental Result																																																																												
7339	6276286	C0085639	Falls	C1096020	Secretion Drainage	C0600138	Does play	C0001206	Acromegaly																																																																																				
7340	6275445	C0311392	Physical findings	C2825142	Experimental Result	C0750484	Confirmation																																																																																						
7341	6275281	C0150312	Present	C0026837	Muscle Rigidity	C0026837	Muscle Rigidity	C0026837	Muscle Rigidity	C3844638	Either	C0026837	Muscle Rigidity																																																																																
7342	6275091	C2825142	Experimental Result																																																																																										
7343	6274830	C0442726	Detected (finding)	C2674459	Limited Walking Ability	C0150312	Present																																																																																						
7344	6274596	C1271104	Blood pressure finding	C1320408	Urinary elimination status	C0150312	Present	C1290955	drug dependent	C0221155	Systolic hypertension	C4313998	Elevated plasma renin activity																																																																																
7345	6273943	C2825142	Experimental Result																																																																																										
7346	6273764																																																																																												
7347	6273758	C0449381	Observation parameter	C0231337	Senility	C0150312	Present	C0442726	Detected (finding)																																																																																				
7348	6272251	C0334094	Proliferation (morphologic abnormality)																																																																																										
7349	6272250	C3844638	Either	C0728867	Drug effect disorder	C3844638	Either																																																																																						
7350	6272247	C0234421	Conscious	C0015967	Fever	C3843766	<50	C0015967	Fever	C2825142	Experimental Result																																																																																		
7351	6272246	C1690939	20/25	C0344307	Absence of pain sensation	C0442811	Very low																																																																																						
7352	6272244	C0442726	Detected (finding)	C0332149	Possible	C2825142	Experimental Result	C2825142	Experimental Result																																																																																				
7353	6270938	C0035863	Rosette formation	C0035863	Rosette formation	C0035863	Rosette formation																																																																																						
7354	6270206	C0728867	Drug effect disorder	C0150312	Present	C0086045	Mental concentration	C0150312	Present																																																																																				
7355	6268381	C0004268	Attention	C0150312	Present	C0150312	Present	C0178494	Avoidance Behavior	C0442766	1/24	C3686622	Excessive grooming	C1457887	Symptoms	C0871247	reminiscence	C2825032	Withdrawal (dysfunction)	C0020672	Hypothermia, natural																																																																								
7356	6268258	C0007370	Catalepsy	C0007370	Catalepsy	C0007370	Catalepsy																																																																																						
7357	6267650	C0678356	alcohol effect	C0080194	Muscle strain	C2676137	Diamond-Blackfan Anemia 1	C0001916	Albinism	C0080194	Muscle strain	C0001916	Albinism	C0080194	Muscle strain	C0220929	Mental tolerance	C0524637	Recognition (Psychology)	C4321237	High Level	C0678356	alcohol effect																																																																						
7358	6267645	C0814084	taste conditioning	C0233496	Aversion (finding)	C2825142	Experimental Result	C0233496	Aversion (finding)	C3840786	Greatly	C2825142	Experimental Result	C0814084	taste conditioning																																																																														
7359	6267621	C0231530	Muscle twitch	C3844638	Either	C2825142	Experimental Result																																																																																						
7360	6267560	C0332128	Examined	C2825142	Experimental Result																																																																																								
7361	6267559																																																																																												
7362	6267493	C1962977	Pain NOS Adverse Event	C0013781	Shock from electric current	C0442752	Distance vision 6/12	C3825120	Pain in animals	C0086045	Mental concentration	C0424099	Reduced concentration	C1273937	Not significant	C0332128	Examined	C1290905	Discrepancy	C1704632	Disease Response	C4321237	High Level	C0162703	Pain Threshold	C0332128	Examined	C1299586	Has difficulty doing (qualifier value)	C0087136	Unmarried	C0030193	Pain																																																												
7363	6266836	C0023185	Learning	C0034770	Mental Recall	C3843766	<50	C0034770	Mental Recall	C3843766	<50	C3843766	<50	C3843766	<50	C0023185	Learning	C0700327	Memory observations	C0004083	Mental association	C0009636	Concept Formation	C0043012	Wakefulness	C0582590	Learning performance	C0036717	Serial Learning	C0023185	Learning	C0034770	Mental Recall	C0036717	Serial Learning	C0237816	Learning Recall	C0023185	Learning	C0034770	Mental Recall	C0034770	Mental Recall	C0023185	Learning	C0034770	Mental Recall	C1290955	drug dependent	C0034770	Mental Recall	C3843766	<50	C0023185	Learning	C0034770	Mental Recall	C0025260	Memory																																		
7364	6266087	C0003130	Anoxia	C0413398	Accidental decapitation	C0413398	Accidental decapitation	C0150312	Present	C0003130	Anoxia	C0003130	Anoxia	C0003130	Anoxia	C0599732	cell injury																																																																												
7365	6264453	C3843766	<50	C0018790	Cardiac Arrest	C1554187	Gender Status - Intact																																																																																						
7366	6264412	C2825142	Experimental Result																																																																																										
7367	6261863																																																																																												
7368	6261526	C0086168	Dissociation	C0086168	Dissociation	C3843645	1-10	C0442766	1/24	C0086045	Mental concentration																																																																																		
7369	6261270	C0150312	Present	C0449381	Observation parameter																																																																																								
